classification_loss,epoch,regression_loss,step,val_classification_loss,val_regression_loss
5.279349327087402,0,1925.2508544921875,49,,
5.311295986175537,0,696.5346069335938,99,,
5.312506675720215,0,668.8306274414062,149,,
5.325450897216797,0,568.3400268554688,199,,
5.315957069396973,0,711.8951416015625,249,,
5.307960033416748,0,487.1348571777344,299,,
5.312482833862305,0,567.94873046875,349,,
5.3181867599487305,0,931.3856811523438,399,,
5.2938432693481445,0,855.11279296875,449,,
5.3082275390625,0,729.044677734375,499,,
5.31201696395874,0,744.917724609375,549,,
5.315423965454102,0,511.26141357421875,599,,
5.308433532714844,0,698.9765625,649,,
5.2994890213012695,0,932.3501586914062,699,,
5.308187484741211,0,701.9091796875,749,,
5.306295394897461,0,1056.687744140625,799,,
5.293294906616211,0,699.05078125,849,,
5.302180290222168,0,608.90771484375,899,,
5.272652626037598,0,678.5828857421875,949,,
5.319088935852051,0,744.6082153320312,999,,
5.313485145568848,0,840.6094970703125,1049,,
5.310389995574951,0,370.4198303222656,1099,,
5.292407035827637,0,543.23974609375,1149,,
5.308204650878906,0,454.05877685546875,1199,,
5.28615665435791,0,556.8023681640625,1249,,
5.297589302062988,0,969.9197998046875,1299,,
5.287400245666504,0,574.4947509765625,1349,,
5.311032772064209,0,733.1903076171875,1399,,
5.297479152679443,0,814.1353149414062,1449,,
,0,,1498,5.2986907958984375,741.8489990234375
5.296901702880859,1,381.1195983886719,1499,,
5.3175506591796875,1,381.05908203125,1549,,
5.28139066696167,1,948.048095703125,1599,,
5.279712677001953,1,1046.896728515625,1649,,
5.294073581695557,1,709.291259765625,1699,,
5.287223815917969,1,743.634521484375,1749,,
5.306550979614258,1,1186.306884765625,1799,,
5.312252044677734,1,690.216552734375,1849,,
5.308578014373779,1,632.7843627929688,1899,,
5.304861068725586,1,684.9556274414062,1949,,
5.296802043914795,1,595.9486083984375,1999,,
5.299520969390869,1,896.8544921875,2049,,
5.302293300628662,1,632.500732421875,2099,,
5.310764789581299,1,575.3455810546875,2149,,
5.299281120300293,1,1498.1505126953125,2199,,
5.307908058166504,1,816.6331787109375,2249,,
5.297093868255615,1,636.17578125,2299,,
5.307119369506836,1,852.578857421875,2349,,
5.286497116088867,1,1061.93408203125,2399,,
5.3107590675354,1,1324.8145751953125,2449,,
5.2902398109436035,1,779.377685546875,2499,,
5.307250022888184,1,1128.40625,2549,,
5.29045295715332,1,454.77099609375,2599,,
5.31417179107666,1,724.0505981445312,2649,,
5.320295333862305,1,857.5953979492188,2699,,
5.286880016326904,1,696.6726684570312,2749,,
5.306983470916748,1,725.008544921875,2799,,
5.294954776763916,1,344.79156494140625,2849,,
5.31210994720459,1,695.4314575195312,2899,,
5.296377658843994,1,927.0997924804688,2949,,
